"","score","text"
"1",-4,"RT @CsCanarias: <ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @evebruler pide que “se ejecute la red permanente de asistencia, visita y servicio de urgencia propuesta por el grupo mun…"
"2",0,"RT @canariasjusapol: No entendemos por qué hablan de “calmar” “sabotear”...
Estamos ante una discriminación reprochable <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>% y la #Equiparaci…"
"3",-2,"RT @JFLopezAguilar: España acoge sl Aquarius. Este es el cambio. Asi se hace la diferencia. La rspuesta no es la insolidaridad del anterior…"
"4",0,"La Palma Ahora. El PP lamenta el estado de abandono de los senderos de la capital  https://t.co/85JpFMjmLp"
"5",1,"RT @MIRAMETV: 'REPORTAJE' | Vuelve a disfrutar de la Romería de la Villa de La Orotava en Mírame:

https://t.co/0iaVNp569m @PC_LaOrotava @L…"
"6",1,"'REPORTAJE' | Vuelve a disfrutar de la Romería de la Villa de La Orotava en Mírame:

https://t.co/0iaVNp569m… https://t.co/nVUmNgnnVO"
"7",0,"Como no iban a ser sirios ni afganos -el PP no quería-,otras instituciones también recularon. Nosotros no,así que s… https://t.co/wg9U3TrlFK"
"8",-4,"Acabamos de hacer balance en redes sociales de los tres años de desgobierno de Bermúdez y de CC y PP. En este tiemp… https://t.co/fjMdorUNIN"
"9",-1,"RT @MIRAMETV: ESPECIAL INFORMATIVO <U+27A1> ¿Hasta cuándo tendrán que soportar los tinerfeños las colas en la #TF5? <ed><U+00A0><U+00BD><ed><U+00BA><U+0097><ed><U+00A0><U+00BD><ed><U+00BA><U+0095><ed><U+00A0><U+00BD><ed><U+00BA><U+0099><ed><U+00A0><U+00BD><ed><U+00BA><U+008C> ESTE JUEVES (21h) en #Mír…"
"10",-5,"RT @PPLPGC: #SabrosoEnlaAutonómica La gestión local, estar a pie de calle, es lo que valora el ciudadano. Y el PP ha demostrado que la gest…"
"11",-1,"Seremi de OO.PP. descarta hacer modificaciones en ruta hacia el Andino - https://t.co/3Ug9iOT4It https://t.co/GMDu3lq0KW"
"12",0,"El PP lamenta el estado de abandono de los senderos de la capital  https://t.co/avobIhbV7Q vía LaPalmaAhora"
"13",-2,"El PP culpa a De Anta de ''negarse a explicar los motivos por los que no facilitó información al Diputado del Común… https://t.co/uO0SxoEmvN"
"14",-9,"RT @luisbeltri: Hay que decirle a la Sra. Villalobos que el único gobierno ilegítimo (y casi ilegal) fue el del Sr. M. Rajoy y del PP, que,…"
"15",-3,"Medina (PP) acusa a la alcaldesa de Arrecife de negarse a explicar la acusación de ""obstruccionista"" del Diputado .… https://t.co/rTLir4WAWh"
"16",0,"RT @canarias7: El relevo de @marianorajoy, el próximo 21 de julio.

https://t.co/rltThzvSRk"
"17",-2,"El PP de Telde pregunta por las obras del parque infantil de La Barranquera | Ondaguanche https://t.co/epbDnHWhUb"
"18",0,"El PP lamenta el estado de abandono de los senderos de la capital  https://t.co/Nzqepfrlw5 vía @LaPalmaAhora"
"19",2,"@LopezbeltranM @24h_tve @mjmonteroc @Haciendagob @sanchezcastejon @marianorajoy Q beneficios ha habido para los par… https://t.co/AfXqBdXHBJ"
"20",-5,"RT @CsScTfe: <U+27A1><U+FE0F> @CsScTfe solicita la comparecencia del concejal de Urbanismo para que explique el estado en el que se encuentra la tramitac…"
"21",0,"RT @DaylingTF: #Gürtel
#PPtrama
Querido PP de Camps estaría bien que también la Audiencia Nacional sacará esto a la luz <ed><U+00A0><U+00BD><ed><U+00B1><U+0087>

https://t.co/Lel…"
"22",1,"@miguel_prat Estos eran los qe venian a arreglar los despropositos del PP <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4>"
"23",0,"RT @ElTimeLaPalma: El PP lamenta el estado de 'abandono' de los senderos de la capital @PPsclapalma #LaPalma #Senderos #MedioAmbiente #Polí…"
"24",0,"El PP lamenta el estado de 'abandono' de los senderos de la capital @PPsclapalma #LaPalma #Senderos #MedioAmbiente… https://t.co/R5GFNEOx9k"
"25",-5,"<U+27A1><U+FE0F> @CsScTfe solicita la comparecencia del concejal de Urbanismo para que explique el estado en el que se encuentra… https://t.co/zMomT7wm6n"
"26",-6,"Los de el lacito y la merma se quejan de que se luche contra la corrupción en Cataluña, solo hay que perseguir la c… https://t.co/ZxE8w7Br6k"
"27",-2,"@francisnova_145 El PP si que es ilegal. Fin de la cita"
"28",-3,"<ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @evebruler pide que “se ejecute la red permanente de asistencia, visita y servicio de urgencia propuesta por el g… https://t.co/bVnZ1OWv5A"
"29",-1,"@iescolar De la misma forma que el PP no se podía permitir la entrada de Rosalía Iglesias en prisión.. la casa real… https://t.co/hv1TNdvp1q"
"30",-2,"@PPopular Ahora (PP), estáis todo el día en las redes diciendo lo q vais a hacer. Hasta ahora no se os veía el pelo… https://t.co/Uu49d0F65r"
"31",-8,"Hay que decirle a la Sra. Villalobos que el único gobierno ilegítimo (y casi ilegal) fue el del Sr. M. Rajoy y del… https://t.co/5WKRlGe71I"
"32",-4,"RT @TeldeActualidad: El PP pide explicaciones sobre el parque infantil de La Barranquera, que tres meses después sigue cerrado. La Concejal…"
"33",-5,"El PP critica que De Anta no explicase el porqué del ""tirón de orejas"" del Diputado del Común https://t.co/waZ583inQa"
"34",-6,"RT @dniel991: Trabajan en condiciones peligrosisimas conviviendo con gente que no tiene nada que perder y te pueden joder la vida. Pero com…"
"35",-5,"Las sentencias condenatorias contra el PP y ex dirigentes de este partido, la sentencia de Urdangarin y las que est… https://t.co/I1G2eaKtZI"
"36",-2,"El PP le reprocha a De Anta que no explique los motivos por los que no facilitó información al Diputado del Común https://t.co/6OXI9jLGfp"
"37",0,"Es una suerte tener a un presidente como Florentino, al mismo nivel mafioso que el PP. A ver si se le acaba el chollo ahora <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>"
"38",0,"¡Iñaki a prisión!
#AlliAbajo11 
#Fake
#SentenciaNóosARV
#Corrupcion #Baleares #PP
#Esp #España #Spain #Corruption"
"39",-3,"@GranCTimes Se ayuda a personas necesitadas, Urdangarín va a la cárcel, empiezan a caer más imputados del pp... emp… https://t.co/4slGTs0XiC"
"40",-3,"Jaume Matas, ex-presidente de Baleares por el PP. Condenado. Y exministro por el #PP condenado otra vez.
#Baleares… https://t.co/2bWXum7tZ1"
"41",-2,"""Las corruptelas del PP son tan miserables"" ... https://t.co/eSHnvu3QVn"
"42",-3,"RT @DavidCuestaTV: Cuando consideras un éxito la destrucción del patrimonio histórico para fomentar la especulación urbanística es normal q…"
"43",-4,"RT @DaylingTF: @mananascuatro 
@Ruiz_Noticias 
Antes de que censuren vuestro programa y con la que está cayendo en Valencia estaría bien qu…"
"44",-3,"El PP critica el silencio del Ayuntamiento de Arrecife tras ignorar los requerimientos del Diputado del Común. / El… https://t.co/DzhsIfnKAQ"
"45",-1,"ESPECIAL INFORMATIVO <U+27A1> ¿Hasta cuándo tendrán que soportar los tinerfeños las colas en la #TF5? <ed><U+00A0><U+00BD><ed><U+00BA><U+0097><ed><U+00A0><U+00BD><ed><U+00BA><U+0095><ed><U+00A0><U+00BD><ed><U+00BA><U+0099><ed><U+00A0><U+00BD><ed><U+00BA><U+008C> ESTE JUEVES (21… https://t.co/LHGIH0HULy"
"46",0,"RT @RamonMoralesQ: @PPCabildoGC @RufoMarcos @FelipeAfonso555 @AuroradlRosario @AnaKurson @carlos_ester @PP_SantaLucia @ZerpaSantana @popula…"
"47",1,"@David_Calvo Gracias al PP !!!!!"
"48",1,"@JesusCintora Gracias al PP !!!!!"
"49",0,"@JoseAMartinSC @PSOESantaCruzTF @PSOETenerife @josefamesam @PatriciaHdezGut @luisbeltri @AndresMCasanova… https://t.co/pKVq4sevlK"
"50",-3,"RT @CsScTfe: <ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @CsScTfe solicita a CC y PP que expliquen cuál es el porcentaje de ejecución de las inversiones 
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>Hoy en @eldia https://t.co…"
"51",-2,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PP y el PSOE llevan 25 años sosteniendo a Coalición Canaria. Todos sabemos que CC es la 3ª fuerza en númer…"
"52",1,"El PP presenta 19 enmiendas a los Presupuestos https://t.co/bXghkcdtIp"
"53",0,"<ed><U+00A0><U+00BD><ed><U+00BA><U+008C><U+267F>La capital destina 47.000 euros para el transporte adaptado a Las Teresitas<ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
https://t.co/v8xc4vseex https://t.co/NvBxGrapAv"
"54",-2,"En #ElPulso de @RadLasPalmas que presenta @JUSANHER hablamos con @josemujica70 sobre ¿PP de Antona @PPparcan mueve… https://t.co/pH3x7ZvNep"
"55",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B9>@OscarGarciaGon: “Ni Tamara ni sus hijos se van a quedar en la calle decida lo que decida la justicia”(DA)<ed><U+00A0><U+00BD><ed><U+00B1><U+0087>… https://t.co/ssusYUILKg"
"56",0,"<ed><U+00A0><U+00BD><ed><U+00B1><U+00A5>Satisfacción vecinal al reabrir Puerta Canseco tras cinco meses (ED)<ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
https://t.co/vWKRtfsI7o https://t.co/aUhvGN5q24"
"57",-3,"<ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @CsScTfe solicita a CC y PP que expliquen cuál es el porcentaje de ejecución de las inversiones 
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>Hoy en @eldia https://t.co/qNHRxSrvVN"
"58",-3,"<ed><U+00A0><U+00BC><ed><U+00B6><U+0095> <U+2066>@CsScTfe<U+2069> pide explicaciones a CC y PP sobre el grado de ejecución de las inversiones municipales
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>Hoy en La Voz… https://t.co/IFcoH7Znsb"
"59",0,"@LopezbeltranM @24h_tve @mjmonteroc @Haciendagob @sanchezcastejon @marianorajoy Claro es que los presupuesto de 201… https://t.co/48tmOxw1YD"
"60",-4,"#SabrosoEnlaAutonómica La gestión local, estar a pie de calle, es lo que valora el ciudadano. Y el PP ha demostrado… https://t.co/V6ImN3SGTm"
"61",-2,"Todavía hay gente q piensa q el PP o Cs arreglarán España...
España necesita un cambio de Rumbo de 180*<U+21A9><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B6><U+0098>"
"62",-1,"RT @jcarlosacha: En el periódico La Provincia, hoy día 12 de Junio, un titular interesante que evidencia el firme compromiso del PP con Can…"
"63",0,"@Er_Richal Ahí tienes a los jubilados vascos, que ahora sí les parecen estupendos los Presupuestos del PP...
Qué cosas!"
"64",-2,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Los casos de corrupción que afectan tanto al PP como al PSOE (caso ERE que sale en Otoño) están afectando a l…"
"65",-2,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PP y el PSOE llevan 25 años sosteniendo a Coalición Canaria. Todos sabemos que CC es la 3ª fuerza… https://t.co/1dnx69q6W5"
"66",0,"@PPCabildoGC @RufoMarcos @FelipeAfonso555 @AuroradlRosario @AnaKurson @carlos_ester @PP_SantaLucia @ZerpaSantana… https://t.co/LOZNEjNtS7"
"67",-2,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Los casos de corrupción que afectan tanto al PP como al PSOE (caso ERE que sale en Otoño) están afect… https://t.co/wbi35HUpWi"
"68",-4,"El PP se retrata junto al solar de los tres derribos de Puerta Canseco y dice que se abre la vía ""a la regeneración… https://t.co/rvFw82nuZg"
"69",0,"Editorial | El PP, sin coartada https://t.co/md9nTuuRwr vía @el_pais"
"70",-3,"RT @itxitas: Si, son 600 personas que no cubren ni el 20% de la cuota de refugiados/as a la que se comprometió el PP en diciembre de 2015 p…"
"71",0,"El Gobierno de Clavijo insiste en controlar la Televisión Canaria. 
https://t.co/3hVOAmx7b4"
"72",0,"RT @DavidCuestaTV: @PandoroBox @carlostarife @JoseAMartinSC @josefamesam @PP_SantaCruz Claro. Gracias por el interés."
"73",1,"RT @DavidCuestaTV: @carlostarife @JoseAMartinSC @josefamesam @PP_SantaCruz Gracias. Cuenta con ello."
"74",-1,"RT @DavidCuestaTV: @carlostarife @JoseAMartinSC @josefamesam @PP_SantaCruz Cuando quieras, te vienes a la tele y hablamos al detalle de est…"
"75",-3,"RT @CsCanarias: <ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @evebruler pide que “se ejecute la red permanente de asistencia, visita y servicio de urgencia propuesta por el grupo mun…"
"76",-1,"RT @canariasjusapol: No entendemos por qué hablan de “calmar” “sabotear”...
Estamos ante una discriminación reprochable <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>% y la #Equiparaci…"
"77",-1,"RT @MIRAMETV: ESPECIAL INFORMATIVO <U+27A1> ¿Hasta cuándo tendrán que soportar los tinerfeños las colas en la #TF5? <ed><U+00A0><U+00BD><ed><U+00BA><U+0097><ed><U+00A0><U+00BD><ed><U+00BA><U+0095><ed><U+00A0><U+00BD><ed><U+00BA><U+0099><ed><U+00A0><U+00BD><ed><U+00BA><U+008C> ESTE JUEVES (21h) en #Mír…"
"78",-5,"RT @CsScTfe: <U+27A1><U+FE0F> @CsScTfe solicita la comparecencia del concejal de Urbanismo para que explique el estado en el que se encuentra la tramitac…"
"79",0,"RT @DaylingTF: #Gürtel
#PPtrama
Querido PP de Camps estaría bien que también la Audiencia Nacional sacará esto a la luz <ed><U+00A0><U+00BD><ed><U+00B1><U+0087>

https://t.co/Lel…"
"80",1,"@miguel_prat Estos eran los qe venian a arreglar los despropositos del PP <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4>"
"81",-5,"<U+27A1><U+FE0F> @CsScTfe solicita la comparecencia del concejal de Urbanismo para que explique el estado en el que se encuentra… https://t.co/zMomT7wm6n"
"82",-2,"<ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @evebruler pide que “se ejecute la red permanente de asistencia, visita y servicio de urgencia propuesta por el g… https://t.co/bVnZ1OWv5A"
"83",0,"Es una suerte tener a un presidente como Florentino, al mismo nivel mafioso que el PP. A ver si se le acaba el chollo ahora <ed><U+00A0><U+00BD><ed><U+00B8><U+008F>"
"84",-1,"ESPECIAL INFORMATIVO <U+27A1> ¿Hasta cuándo tendrán que soportar los tinerfeños las colas en la #TF5? <ed><U+00A0><U+00BD><ed><U+00BA><U+0097><ed><U+00A0><U+00BD><ed><U+00BA><U+0095><ed><U+00A0><U+00BD><ed><U+00BA><U+0099><ed><U+00A0><U+00BD><ed><U+00BA><U+008C> ESTE JUEVES (21… https://t.co/LHGIH0HULy"
"85",-3,"RT @CsScTfe: <ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @CsScTfe solicita a CC y PP que expliquen cuál es el porcentaje de ejecución de las inversiones 
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>Hoy en @eldia https://t.co…"
"86",-2,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PP y el PSOE llevan 25 años sosteniendo a Coalición Canaria. Todos sabemos que CC es la 3ª fuerza en númer…"
"87",0,"<ed><U+00A0><U+00BD><ed><U+00BA><U+008C><U+267F>La capital destina 47.000 euros para el transporte adaptado a Las Teresitas<ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
https://t.co/v8xc4vseex https://t.co/NvBxGrapAv"
"88",-2,"<ed><U+00A0><U+00BD><ed><U+00B4><U+00B9>@OscarGarciaGon: “Ni Tamara ni sus hijos se van a quedar en la calle decida lo que decida la justicia”(DA)<ed><U+00A0><U+00BD><ed><U+00B1><U+0087>… https://t.co/ssusYUILKg"
"89",0,"<ed><U+00A0><U+00BD><ed><U+00B1><U+00A5>Satisfacción vecinal al reabrir Puerta Canseco tras cinco meses (ED)<ed><U+00A0><U+00BD><ed><U+00B1><U+0087>
https://t.co/vWKRtfsI7o https://t.co/aUhvGN5q24"
"90",-3,"<ed><U+00A0><U+00BC><ed><U+00B6><U+0095> @CsScTfe solicita a CC y PP que expliquen cuál es el porcentaje de ejecución de las inversiones 
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>Hoy en @eldia https://t.co/qNHRxSrvVN"
"91",-3,"<ed><U+00A0><U+00BC><ed><U+00B6><U+0095> <U+2066>@CsScTfe<U+2069> pide explicaciones a CC y PP sobre el grado de ejecución de las inversiones municipales
<ed><U+00A0><U+00BD><ed><U+00B1><U+0089>Hoy en La Voz… https://t.co/IFcoH7Znsb"
"92",-2,"Todavía hay gente q piensa q el PP o Cs arreglarán España...
España necesita un cambio de Rumbo de 180*<U+21A9><U+FE0F><ed><U+00A0><U+00BC><ed><U+00B6><U+0098>"
"93",-2,"RT @CsCanarias: <ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Los casos de corrupción que afectan tanto al PP como al PSOE (caso ERE que sale en Otoño) están afectando a l…"
"94",-2,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""El PP y el PSOE llevan 25 años sosteniendo a Coalición Canaria. Todos sabemos que CC es la 3ª fuerza… https://t.co/1dnx69q6W5"
"95",-2,"<ed><U+00A0><U+00BD><ed><U+00B3><U+00BB> @mgcejascs ""Los casos de corrupción que afectan tanto al PP como al PSOE (caso ERE que sale en Otoño) están afect… https://t.co/wbi35HUpWi"
